statefp,stusps,year,speimean
01,AL,2005,0.096219112
01,AL,2006,-1.100994443
01,AL,2007,-1.810719371
01,AL,2008,-0.307458389
01,AL,2009,0.906668681
01,AL,2010,-0.736349998
01,AL,2011,0.50562743
01,AL,2012,-0.740763962
01,AL,2013,0.788689828
01,AL,2014,0.028956399
01,AL,2015,0.08279325
01,AL,2016,-1.016290078
01,AL,2017,0.416009998
01,AL,2018,0.161167057
01,AL,2019,-0.613795886
01,AL,2020,0.946253777
01,AL,2021,1.194477197
01,AL,2022,0.708246228
01,AL,2023,0.002721522
01,AL,2024,-0.046524534
01,AL,2025,0.294360395
04,AZ,2005,-0.348864965
04,AZ,2006,-1.016523301
04,AZ,2007,-1.019199044
04,AZ,2008,-0.529964411
04,AZ,2009,-1.157805247
04,AZ,2010,-0.221677879
04,AZ,2011,-0.700233494
04,AZ,2012,-0.97507473
04,AZ,2013,-1.058432196
04,AZ,2014,-0.87578517
04,AZ,2015,-0.718170258
04,AZ,2016,-1.281552521
04,AZ,2017,-1.28851847
04,AZ,2018,-1.318936574
04,AZ,2019,-0.519709243
04,AZ,2020,-1.472284308
04,AZ,2021,-0.992955262
04,AZ,2022,-1.318700913
04,AZ,2023,-0.865621982
04,AZ,2024,-1.419386908
04,AZ,2025,-1.256796464
05,AR,2005,-0.663412437
05,AR,2006,-0.683621877
05,AR,2007,-0.886964759
05,AR,2008,0.586373143
05,AR,2009,1.4655648
05,AR,2010,-0.790012069
05,AR,2011,0.314139829
05,AR,2012,-1.584883845
05,AR,2013,0.353202228
05,AR,2014,0.790837532
05,AR,2015,0.618971635
05,AR,2016,1.194743381
05,AR,2017,0.721167253
05,AR,2018,0.149080947
05,AR,2019,1.168145893
05,AR,2020,1.258139987
05,AR,2021,0.549907995
05,AR,2022,0.728839869
05,AR,2023,0.331321867
05,AR,2024,0.322081925
05,AR,2025,0.402162848
06,CA,2005,0.026547511
06,CA,2006,-0.387094829
06,CA,2007,-0.902868507
06,CA,2008,-1.114008423
06,CA,2009,-0.788782194
06,CA,2010,0.415499623
06,CA,2011,0.530672698
06,CA,2012,-0.398368739
06,CA,2013,-1.27703855
06,CA,2014,-1.315256308
06,CA,2015,-1.141385301
06,CA,2016,-0.86028077
06,CA,2017,-1.108718055
06,CA,2018,-0.797848394
06,CA,2019,-0.100754558
06,CA,2020,-1.070938387
06,CA,2021,-1.956153774
06,CA,2022,-1.632566272
06,CA,2023,-0.342616347
06,CA,2024,-1.51570197
06,CA,2025,-1.011343169
08,CO,2005,-0.238285683
08,CO,2006,-0.800754494
08,CO,2007,-0.265052644
08,CO,2008,-0.372207619
08,CO,2009,0.273291542
08,CO,2010,-0.110089397
08,CO,2011,-0.30841375
08,CO,2012,-1.864448602
08,CO,2013,-0.312142191
08,CO,2014,-0.015143285
08,CO,2015,0.40587475
08,CO,2016,-0.170287535
08,CO,2017,-0.198689432
08,CO,2018,-1.288750055
08,CO,2019,0.04755554
08,CO,2020,-1.373980778
08,CO,2021,-0.468354848
08,CO,2022,-0.711183077
08,CO,2023,0.157207304
08,CO,2024,-0.254372611
08,CO,2025,-0.762430522
09,CT,2005,-0.725402004
09,CT,2006,0.505708454
09,CT,2007,0.162428201
09,CT,2008,0.58084111
09,CT,2009,0.618722803
09,CT,2010,-0.495652991
09,CT,2011,0.888861471
09,CT,2012,-0.83264686
09,CT,2013,0.000692757
09,CT,2014,-0.140165121
09,CT,2015,-0.896865644
09,CT,2016,-1.285156445
09,CT,2017,-0.083490394
09,CT,2018,0.391869449
09,CT,2019,0.151934211
09,CT,2020,-0.818505814
09,CT,2021,0.268550151
09,CT,2022,0.133278802
09,CT,2023,0.551530239
09,CT,2024,0.579873144
09,CT,2025,-0.45768217
10,DE,2005,0.032229089
10,DE,2006,-0.345250114
10,DE,2007,-0.694298839
10,DE,2008,-0.275104907
10,DE,2009,0.509413053
10,DE,2010,-0.993049407
10,DE,2011,-0.603624015
10,DE,2012,-1.494403406
10,DE,2013,0.811259898
10,DE,2014,0.108517671
10,DE,2015,-0.248114958
10,DE,2016,-0.084846813
10,DE,2017,0.338602112
10,DE,2018,0.746223642
10,DE,2019,-0.544842201
10,DE,2020,0.188076064
10,DE,2021,-0.152402328
10,DE,2022,-0.923690045
10,DE,2023,-0.142875462
10,DE,2024,-0.621835793
10,DE,2025,0.112367786
11,DC,2020,0.773076266
11,DC,2021,0.17613223
11,DC,2025,-0.041904286
12,FL,2005,0.861420648
12,FL,2006,-1.438289599
12,FL,2007,-1.331544575
12,FL,2008,-0.28366373
12,FL,2009,0.764554283
12,FL,2010,-0.785401781
12,FL,2015,-0.953883495
12,FL,2016,-0.530605834
12,FL,2017,-0.120927879
12,FL,2018,0.026885297
12,FL,2019,-0.802565707
12,FL,2022,0.014231371
12,FL,2023,-0.647498592
12,FL,2024,0.423164299
13,GA,2005,1.01938184
13,GA,2006,-1.232538342
13,GA,2007,-1.11116285
13,GA,2008,-0.532794741
13,GA,2009,0.395518458
13,GA,2010,-0.537771781
13,GA,2011,-1.141030633
13,GA,2012,-0.804715925
13,GA,2013,1.392619922
13,GA,2014,0.108722907
13,GA,2015,-0.333676598
13,GA,2016,-0.856943082
13,GA,2017,-0.324101101
13,GA,2018,0.27302326
13,GA,2019,-0.912084477
13,GA,2020,0.293849004
13,GA,2021,0.327887593
13,GA,2022,-0.756481412
13,GA,2023,0.058417744
13,GA,2024,0.512024958
13,GA,2025,0.415877563
16,ID,2005,0.602541595
16,ID,2006,-0.324794969
16,ID,2007,-1.416112126
16,ID,2008,-0.424178141
16,ID,2009,0.454616881
16,ID,2010,0.49192019
16,ID,2011,0.690256809
16,ID,2012,-1.002940641
16,ID,2013,-1.118581508
16,ID,2014,-0.093577749
16,ID,2015,-0.542697995
16,ID,2016,-0.599334038
16,ID,2017,-0.244268642
16,ID,2018,-0.605261294
16,ID,2019,0.331033923
16,ID,2020,-0.367750522
16,ID,2021,-1.322133011
16,ID,2022,-0.965839955
16,ID,2023,0.080530377
16,ID,2024,-0.657461416
16,ID,2025,-1.11625455
17,IL,2005,-1.397498044
17,IL,2006,-0.206845442
17,IL,2007,-0.20195996
17,IL,2008,1.030067122
17,IL,2009,1.181551771
17,IL,2010,0.562945584
17,IL,2011,0.495815532
17,IL,2012,-1.518537926
17,IL,2013,0.686103079
17,IL,2014,0.463386611
17,IL,2015,0.575525073
17,IL,2016,0.193860661
17,IL,2017,0.494671315
17,IL,2018,0.349147231
17,IL,2019,0.918168402
17,IL,2020,0.280336844
17,IL,2021,-0.257897402
17,IL,2022,0.821528304
17,IL,2023,-0.508923703
17,IL,2024,0.418865987
17,IL,2025,-0.194272252
18,IN,2005,-0.773396957
18,IN,2006,0.368602964
18,IN,2007,-0.326570431
18,IN,2008,0.37142067
18,IN,2009,0.759484134
18,IN,2010,-0.055857324
18,IN,2011,0.898112057
18,IN,2012,-1.625605077
18,IN,2013,0.388443531
18,IN,2014,0.36433324
18,IN,2015,0.727535824
18,IN,2016,0.127981762
18,IN,2017,0.626053497
18,IN,2018,0.323005828
18,IN,2019,0.664248538
18,IN,2020,-0.287590941
18,IN,2021,0.057022785
18,IN,2023,-0.333581698
18,IN,2024,0.166207652
18,IN,2025,-0.049463696
19,IA,2005,-0.405514755
19,IA,2006,-0.20820873
19,IA,2007,0.581772601
19,IA,2008,1.418028548
19,IA,2009,0.623592236
19,IA,2010,1.060496329
19,IA,2011,0.280767823
19,IA,2012,-1.20788941
19,IA,2013,0.771001659
19,IA,2014,0.829096323
19,IA,2015,0.457584647
19,IA,2016,0.263214939
19,IA,2017,-4.33E-05
19,IA,2018,0.354330751
19,IA,2019,0.705077595
19,IA,2020,-0.287779827
19,IA,2021,-0.542290251
19,IA,2022,0.276196633
19,IA,2022,0.672466807
19,IA,2023,-0.886694946
19,IA,2024,0.498272619
19,IA,2025,0.297202943
20,KS,2005,0.092352465
20,KS,2006,-0.535945108
20,KS,2007,0.491898737
20,KS,2008,0.323829238
20,KS,2009,0.456214907
20,KS,2010,0.120237052
20,KS,2011,-0.952891807
20,KS,2012,-1.321357685
20,KS,2013,0.270815787
20,KS,2014,-0.050129371
20,KS,2015,0.353437872
20,KS,2016,0.516300523
20,KS,2017,0.223304557
20,KS,2018,-0.100778966
20,KS,2019,0.736379131
20,KS,2020,-0.103670357
20,KS,2021,-0.061663034
