year,state,county,"HAY, ALFALFA - ACRES HARVESTED","HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","HAY, ALFALFA - YIELD, MEASURED IN TONS / ACRE","HAY, ALFALFA, IRRIGATED - ACRES HARVESTED","HAY, ALFALFA, IRRIGATED - PRODUCTION, MEASURED IN TONS","HAY, ALFALFA, IRRIGATED - YIELD, MEASURED IN TONS / ACRE","HAY, ALFALFA, NON-IRRIGATED - ACRES HARVESTED","HAY, ALFALFA, NON-IRRIGATED - PRODUCTION, MEASURED IN TONS","HAY, ALFALFA, NON-IRRIGATED - YIELD, MEASURED IN TONS / ACRE",irr_share
2012,Alabama,Autauga,124,300,2.4193548387096775,NA,NA,NA,NA,NA,NA,NA
2022,Alabama,Autauga,580,370,0.6379310344827587,NA,NA,NA,NA,NA,NA,NA
2007,Alabama,Baldwin,44,276,6.2727272727272725,0,NA,NA,NA,NA,NA,0
2012,Alabama,Baldwin,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2017,Alabama,Baldwin,906,769,0.8487858719646799,NA,NA,NA,NA,NA,NA,NA
2022,Alabama,Baldwin,261,388,1.4865900383141764,NA,NA,NA,NA,NA,NA,NA
2007,Alabama,Barbour,26,0,0,NA,NA,NA,NA,NA,NA,NA
2012,Alabama,Barbour,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2017,Alabama,Barbour,32,52,1.625,NA,NA,NA,NA,NA,NA,NA
2022,Alabama,Barbour,388,0,0,NA,NA,NA,NA,NA,NA,NA
2007,Alabama,Blount,719,1856,2.5813630041724616,NA,NA,NA,NA,NA,NA,NA
2012,Alabama,Blount,127,220,1.7322834645669292,NA,NA,NA,NA,NA,NA,NA
2022,Alabama,Blount,385,1381,3.587012987012987,NA,NA,NA,NA,NA,NA,NA
2022,Alabama,Bullock,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2007,Alabama,Butler,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2017,Alabama,Butler,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2022,Alabama,Butler,58,91,1.5689655172413792,NA,NA,NA,NA,NA,NA,NA
2007,Alabama,Calhoun,130,100,0.7692307692307693,NA,NA,NA,NA,NA,NA,NA
2017,Alabama,Calhoun,18,13,0.7222222222222222,NA,NA,NA,NA,NA,NA,NA
2012,Alabama,Chambers,141,190,1.3475177304964538,NA,NA,NA,NA,NA,NA,NA
2017,Alabama,Chambers,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2022,Alabama,Chambers,244,484,1.9836065573770492,NA,NA,NA,NA,NA,NA,NA
2007,Alabama,Cherokee,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2012,Alabama,Cherokee,25,110,4.4,NA,NA,NA,NA,NA,NA,NA
2017,Alabama,Cherokee,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2022,Alabama,Cherokee,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2007,Alabama,Chilton,79,147,1.860759493670886,NA,NA,NA,NA,NA,NA,NA
2012,Alabama,Chilton,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2017,Alabama,Chilton,238,423,1.7773109243697478,NA,NA,NA,NA,NA,NA,NA
2022,Alabama,Chilton,46,70,1.5217391304347827,NA,NA,NA,NA,NA,NA,NA
2007,Alabama,Choctaw,36,0,0,NA,NA,NA,NA,NA,NA,NA
2022,Alabama,Choctaw,0,0,NA,0,NA,NA,NA,NA,NA,NA
2007,Alabama,Clarke,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2017,Alabama,Clarke,13,0,0,NA,NA,NA,NA,NA,NA,NA
2022,Alabama,Clarke,450,1042,2.3155555555555556,NA,NA,NA,NA,NA,NA,NA
2007,Alabama,Clay,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2012,Alabama,Clay,120,0,0,NA,NA,NA,NA,NA,NA,NA
2017,Alabama,Clay,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2022,Alabama,Clay,373,625,1.675603217158177,0,NA,NA,NA,NA,NA,0
2022,Alabama,Cleburne,227,451,1.986784140969163,0,NA,NA,NA,NA,NA,0
2007,Alabama,Coffee,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2017,Alabama,Coffee,29,63,2.1724137931034484,NA,NA,NA,NA,NA,NA,NA
2022,Alabama,Coffee,291,708,2.4329896907216493,NA,NA,NA,NA,NA,NA,NA
2007,Alabama,Colbert,231,548,2.3722943722943723,NA,NA,NA,NA,NA,NA,NA
2012,Alabama,Colbert,163,310,1.901840490797546,NA,NA,NA,NA,NA,NA,NA
