state,stusps,statefp,year,alf_spei_mean,alf_acres,irrigated_acres,non_irrigated_acres,alf_production,irrigated_production,non_irrigated_production,irr_share,alf_yield,irr_yield,non_irr_yield,haylage_acres,haylage_production,haylage_irrigated_acres,haylage_irrigated_ops,Export_Value,alf_price_usd_ton,hay_alf_usd_value,alf_sales_tons,irr_yield_tons_per_acre_method_gravity,irr_yield_tons_per_acre_method_pressure,non_irr_yield_tons_per_acre,irr_yield_tons_per_acre_general,irrigated_acres_method_gravity,irrigated_acres_method_pressure,irrigated_acres_source_on_farm_surface,irrigated_acres_total,non_irrigated_acres,water_applied_af_acre_method_gravity,water_applied_af_acre_method_pressure,water_applied_af_acre_general,irrigated_acres_source_off_farm,irrigated_acres_source_ground,hay_alf_usd,export_usd,avg_exp_rate,west,midwest
Alabama,AL,01,2005,0.096219112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5000,NA,0,0
Alabama,AL,01,2006,-1.100994443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17000,NA,0,0
Alabama,AL,01,2007,-1.810719371,7526,91,7435,16944,NA,NA,0.012091416423066702,2.251395163,NA,NA,1302,1584,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8000,NA,0,0
Alabama,AL,01,2008,-0.307458389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0
Alabama,AL,01,2009,0.906668681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0
Alabama,AL,01,2010,-0.736349998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8000,NA,0,0
Alabama,AL,01,2011,0.50562743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0
Alabama,AL,01,2012,-0.740763962,4986,31,4955,8361,NA,NA,0.006217409,1.676895307,NA,NA,1459,5096,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0
Alabama,AL,01,2013,0.788689828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,4.1,NA,NA,35,35,NA,NA,NA,1.1,NA,NA,NA,0,NA,0,0
Alabama,AL,01,2014,0.028956399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0
Alabama,AL,01,2015,0.08279325,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0
Alabama,AL,01,2016,-1.016290078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0
Alabama,AL,01,2017,0.416009998,3157,NA,NA,6704,NA,NA,0,2.123535002,NA,NA,1108,7401,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0
Alabama,AL,01,2018,0.161167057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2,NA,NA,2,2000,NA,NA,2000,NA,1.5,NA,1.5,2000,NA,NA,0,NA,0,0
Alabama,AL,01,2019,-0.613795886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0
Alabama,AL,01,2020,0.946253777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0
Alabama,AL,01,2021,1.194477197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0
Alabama,AL,01,2022,0.708246228,19964,486,19478,42583,NA,NA,0.024343819,2.132989381,NA,NA,5314,40405,244,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0
Alabama,AL,01,2023,0.002721522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138,NA,NA,NA,NA,NA,NA,NA,NA,1159,1159,1159,NA,NA,0.4,0.4,NA,NA,NA,138000,NA,0,0
Alabama,AL,01,2024,-0.046524534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2158000,NA,0,0
Alabama,AL,01,2025,0.294360395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1936000,NA,0,0
Arizona,AZ,04,2005,-0.348864965,260000,NA,NA,2184000,NA,NA,0,8.4,NA,NA,NA,NA,NA,NA,0,124,270816000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,270816000,0,0,1,0
Arizona,AZ,04,2006,-1.016523301,250000,NA,NA,2075000,NA,NA,0,8.3,NA,NA,NA,NA,NA,NA,0,130,269750000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,269750000,0,0,1,0
Arizona,AZ,04,2007,-1.019199044,512407,257263,255144,4008043,NA,NA,0.502067692,8,NA,NA,46007,167265,46007,95,0,151,308040000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,308040000,0,0,1,0
Arizona,AZ,04,2008,-0.529964411,260000,NA,NA,2236000,NA,NA,0,8.6,NA,NA,NA,NA,NA,NA,0,185,413660000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,413660000,0,0,1,0
Arizona,AZ,04,2009,-1.157805247,280000,NA,NA,2380000,NA,NA,0,8.5,NA,NA,NA,NA,NA,NA,0,121,287980000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,287980000,0,0,1,0
Arizona,AZ,04,2010,-0.221677879,280000,NA,NA,2296000,NA,NA,0,8.2,NA,NA,NA,NA,NA,NA,0,129,296184000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,296184000,0,0,1,0
