"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2025","MARKETING YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","HAY","HAY, ALFALFA - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","193",""
"SURVEY","2025","MARKETING YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","HAY","HAY, ALFALFA - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","237",""
"SURVEY","2025","MARKETING YEAR","","STATE","COLORADO","08","","","","","","","00000000","","HAY","HAY, ALFALFA - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","164",""
"SURVEY","2025","MARKETING YEAR","","STATE","CONNECTICUT","09","","","","","","","00000000","","HAY","HAY, ALFALFA - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","250",""
"SURVEY","2025","MARKETING YEAR","","STATE","DELAWARE","10","","","","","","","00000000","","HAY","HAY, ALFALFA - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","240",""
"SURVEY","2025","MARKETING YEAR","","STATE","IDAHO","16","","","","","","","00000000","","HAY","HAY, ALFALFA - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","154",""
"SURVEY","2025","MARKETING YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","HAY","HAY, ALFALFA - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","159",""
"SURVEY","2025","MARKETING YEAR","","STATE","INDIANA","18","","","","","","","00000000","","HAY","HAY, ALFALFA - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","195",""
"SURVEY","2025","MARKETING YEAR","","STATE","IOWA","19","","","","","","","00000000","","HAY","HAY, ALFALFA - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","107",""
"SURVEY","2025","MARKETING YEAR","","STATE","KANSAS","20","","","","","","","00000000","","HAY","HAY, ALFALFA - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","121",""
