year,state,state_ansi,hay_alf_acres,hay_alf_usd,hay_alf_tons,hay_alfalfa_yield_tons_per_acre,haylage_alfalfa_acres_harvested,haylage_alfalfa_production_tons,haylage_alfalfa_yield_tons_per_acre,hay_haylage_alfalfa_production_usd,haylage_alfalfa_irrigated_acres_harvested,alf_irrigated_acres,alf_irrigated_production_tons,irrigated_yield_tons_per_acre_dry,alf_irrigated_yield_tons_per_acre,alf_non_irrigated_acres_harvested,alf_non_irrigated_yield_tons_per_acre,irrigated_acres_gravity,irrigated_acres_pressure,irrigated_water_acrefeet_per_acre_gravity,irrigated_water_acrefeet_per_acre_pressure,irrigated_water_acrefeet_per_acre,irrigated_yield_tons_per_acre_dry_basis_gravity,irrigated_yield_tons_per_acre_dry_basis_pressure,hay_alfalfa_price_per_ton,CV_pct,irrigation,State,Year,SPEI,Export_Value,alf_spei_mean,west,midwest,irrigation_share,irrigation_dummy
2005,ALABAMA,1,,,,,,,,,,,,,,,,,,,,,,,,,0,Alabama,2005,-0.96219112,5,0.096219112,0,0,,0
2006,ALABAMA,1,,,,,,,,,,,,,,,,,,,,,,,,,0,Alabama,2006,-1.100994443,17,-1.100994443,0,0,,0
2007,ALABAMA,1,7526,,16944,2.3,1302,1584,1.2,,,91,0,,,7435,,,,,,,,,,,0,Alabama,2007,-1.562309706,8,-1.810719371,0,0,0.012091416,0
2008,ALABAMA,1,,,,,,,,,,,,,,,,,,,,,,,,,,Alabama,2008,-0.307458389,0,-0.307458389,0,0,,0
2009,ALABAMA,1,,,,,,,,,,,,,,,,,,,,,,,,,,Alabama,2009,0.906668681,0,0.906668681,0,0,,0
2010,ALABAMA,1,,,,,,,,,,,,,,,,,,,,,,,,,,Alabama,2010,-0.736349998,8,-0.736349998,0,0,,0
2011,ALABAMA,1,,,,,,,,,,,,,,,,,,,,,,,,,,Alabama,2011,0.50562743,0,0.50562743,0,0,,0
2012,ALABAMA,1,4986,,8361,1.7,1459,5096,3.5,,,31,0,,,4955,,,,,,,,,,9.6,0,Alabama,2012,-0.661742248,0,-0.740763962,0,0,0.006217409,0
2013,ALABAMA,1,,,,,,,,,,35,,4.1,4.1,0,,0,0,0,0,1.1,0,0,,,0,Alabama,2013,0.728160619,0,0.788689828,0,0,,0
2014,ALABAMA,1,,,,,,,,,,,,,,,,,,,,,,,,,,Alabama,2014,0.028956399,0,0.028956399,0,0,,0
2015,ALABAMA,1,,,0,,,,,,,,,,,,,,,,,,,,,,0,Alabama,2015,0.08279325,0,0.08279325,0,0,,0
2016,ALABAMA,1,,,,,,,,,,,,,,,,,,,,,,,,,,Alabama,2016,-1.016290078,0,-1.016290078,0,0,,0
2017,ALABAMA,1,3157,,6704,2.1,1108,7401,6.7,,0,354,0,,,0,,,,,,,,,,6.4,0,Alabama,2017,-0.363667273,0,0.416009998,0,0,0.112131771,0
2018,ALABAMA,1,,,,,,,,,,,,2,2,,,2000,,1.5,,1.5,2,,,,0,Alabama,2018,0.136208881,0,0.161167057,0,0,,0
2019,ALABAMA,1,,,,,,,,,,,,,,,,,,,,,,,,,0,Alabama,2019,0.516832152,0,-0.613795886,0,0,,0
2020,ALABAMA,1,,,,,,,,,,,,,,,,,,,,,,,,,0,Alabama,2020,0.89251851,0,0.946253777,0,0,,0
2021,ALABAMA,1,,,,,,,,,,,,,,,,,,,,,,,,,0,Alabama,2021,0.781702314,0,1.194477197,0,0,,0
2022,ALABAMA,1,19964,,42583,2.1,5314,40405,7.6,,244,1159,0,,,19478,,,,,,,,,,9.2,1,Alabama,2022,0.498769624,0,0.708246228,0,0,0.058054498,0
2023,ALABAMA,1,,,,,,,,,,,,,,,,,1159,,0.4,0.4,,,,,0,Alabama,2023,-0.178989286,138,0.002721522,0,0,,1
2024,ALABAMA,1,,,,,,,,,,,,,,,,,,,,,,,,,1,Alabama,2024,-0.515493292,2158,-0.046524534,0,0,,1
2025,ALABAMA,1,,,,,,,,,,,,,,,,,,,,,,,,,1,Alabama,2025,0.294360395,1936,0.294360395,0,0,,1
2005,ARIZONA,4,260000,270816000,2184000,8.4,,,,,,0,0,,,0,,,,,,,,,124,,0,Arizona,2005,0.615947605,0,-0.348864965,1,0,,1
2006,ARIZONA,4,250000,269750000,2075000,8.3,,,,,,0,0,,,0,,,,,,,,,130,,0,Arizona,2006,-1.464411111,0,-1.016523301,1,0,,1
2007,ARIZONA,4,512407,308040000,4008043,8,46007,167265,3.6,25257015,46007,303270,0,,,255144,,,,,,,,,151,,1,Arizona,2007,-1.19874461,0,-1.019199044,1,0,0.5918537412642685,1
2008,ARIZONA,4,260000,413660000,2236000,8.6,,,,,,0,0,,,0,,,,,,,,,185,,0,Arizona,2008,-0.741481238,0,-0.529964411,1,0,,1
2009,ARIZONA,4,280000,287980000,2380000,8.5,,,,,,0,0,,,0,,,,,,,,,121,,0,Arizona,2009,-1.272491477,0,-1.157805247,1,0,,1
2010,ARIZONA,4,280000,296184000,2296000,8.2,,,,,,0,0,,,0,,,,,,,,,129,,0,Arizona,2010,-0.580685841,0,-0.221677879,1,0,,1
2011,ARIZONA,4,250000,466875000,2075000,8.3,,,,,,0,0,,,0,,,,,,,,,225,,0,Arizona,2011,-1.04322782,0,-0.700233494,1,0,,1
2012,ARIZONA,4,522457,470400000,4117479,8.4,43753,161002,3.7,36064448,43753,314701,0,,,251509,,,,,,,,,224,61.7,1,Arizona,2012,-1.324489123,0,-0.97507473,1,0,0.6023481358274461,1
2013,ARIZONA,4,250000,407025000,2025000,8.1,,,,,,200449,0,8.3,8.3,0,,210572,59877,5.5,5.2,5.4,8.4,7.7,201,,0,Arizona,2013,-1.092476079,0,-1.058432196,1,0,0.82176,1
2014,ARIZONA,4,260000,481780000,2210000,8.5,,,,,,0,0,,,0,,,,,,,,,218,,0,Arizona,2014,-1.027065023,0,-0.87578517,1,0,,1
2015,ARIZONA,4,300000,408240000,2520000,8.4,,,,,,0,0,,,0,,,,,,,,,162,,0,Arizona,2015,-0.436809716,7,-0.718170258,1,0,,1
2016,ARIZONA,4,285000,372552000,2451000,8.6,,,,,,0,0,,,0,,,,,,,,,152,,0,Arizona,2016,-0.801083287,833,-1.281552521,1,0,,1
2017,ARIZONA,4,587903,411768000,4842105,8.4,50289,210624,4.2,411768000,50289,353192,0,,,285000,,,,,,,,,172,9.6,1,Arizona,2017,-0.937986578,6088,-1.28851847,1,0,0.6007657725849332,1
