year,state,state_ansi,hay_alf_acres,hay_alf_usd,hay_alf_tons,hay_alfalfa_yield_tons_per_acre,haylage_alfalfa_acres_harvested,haylage_alfalfa_production_tons,haylage_alfalfa_yield_tons_per_acre,hay_haylage_alfalfa_production_usd,haylage_alfalfa_irrigated_acres_harvested,alf_irrigated_acres,alf_irrigated_production_tons,irrigated_yield_tons_per_acre_dry,alf_irrigated_yield_tons_per_acre,alf_non_irrigated_acres_harvested,alf_non_irrigated_yield_tons_per_acre,irrigated_acres_gravity,irrigated_acres_pressure,irrigated_water_acrefeet_per_acre_gravity,irrigated_water_acrefeet_per_acre_pressure,irrigated_water_acrefeet_per_acre,irrigated_yield_tons_per_acre_dry_basis_gravity,irrigated_yield_tons_per_acre_dry_basis_pressure,hay_alfalfa_price_per_ton,CV_pct,irrigation,State,Year,SPEI,Export_Value,alf_spei_mean,west,midwest,irrigation_share,irrigation_dummy
2005,ALABAMA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Alabama,2005,-0.96219112,5,0.096219112,0,0,NA,0
2006,ALABAMA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Alabama,2006,-1.100994443,17,-1.100994443,0,0,NA,0
2007,ALABAMA,1,7526,NA,16944,2.3,1302,1584,1.2,NA,NA,91,0,NA,NA,7435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Alabama,2007,-1.562309706,8,-1.810719371,0,0,0.012091416,0
2008,ALABAMA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alabama,2008,-0.307458389,0,-0.307458389,0,0,NA,0
2009,ALABAMA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alabama,2009,0.906668681,0,0.906668681,0,0,NA,0
2010,ALABAMA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alabama,2010,-0.736349998,8,-0.736349998,0,0,NA,0
2011,ALABAMA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alabama,2011,0.50562743,0,0.50562743,0,0,NA,0
2012,ALABAMA,1,4986,NA,8361,1.7,1459,5096,3.5,NA,NA,31,0,NA,NA,4955,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.6,0,Alabama,2012,-0.661742248,0,-0.740763962,0,0,0.006217409,0
2013,ALABAMA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,NA,4.1,4.1,0,NA,0,0,0,0,1.1,0,0,NA,NA,0,Alabama,2013,0.728160619,0,0.788689828,0,0,NA,0
2014,ALABAMA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alabama,2014,0.028956399,0,0.028956399,0,0,NA,0
2015,ALABAMA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Alabama,2015,0.08279325,0,0.08279325,0,0,NA,0
2016,ALABAMA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alabama,2016,-1.016290078,0,-1.016290078,0,0,NA,0
2017,ALABAMA,1,3157,NA,6704,2.1,1108,7401,6.7,NA,0,354,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4,0,Alabama,2017,-0.363667273,0,0.416009998,0,0,0.112131771,0
2018,ALABAMA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,2000,NA,1.5,NA,1.5,2,NA,NA,NA,0,Alabama,2018,0.136208881,0,0.161167057,0,0,NA,0
2019,ALABAMA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Alabama,2019,0.516832152,0,-0.613795886,0,0,NA,0
2020,ALABAMA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Alabama,2020,0.89251851,0,0.946253777,0,0,NA,0
2021,ALABAMA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Alabama,2021,0.781702314,0,1.194477197,0,0,NA,0
2022,ALABAMA,1,19964,NA,42583,2.1,5314,40405,7.6,NA,244,1159,0,NA,NA,19478,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.2,1,Alabama,2022,0.498769624,0,0.708246228,0,0,0.058054498,0
2023,ALABAMA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1159,NA,0.4,0.4,NA,NA,NA,NA,0,Alabama,2023,-0.178989286,138,0.002721522,0,0,NA,1
2024,ALABAMA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Alabama,2024,-0.515493292,2158,-0.046524534,0,0,NA,1
2025,ALABAMA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Alabama,2025,0.294360395,1936,0.294360395,0,0,NA,1
2005,ARIZONA,4,260000,270816000,2184000,8.4,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,124,NA,0,Arizona,2005,0.615947605,0,-0.348864965,1,0,NA,1
2006,ARIZONA,4,250000,269750000,2075000,8.3,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,130,NA,0,Arizona,2006,-1.464411111,0,-1.016523301,1,0,NA,1
2007,ARIZONA,4,512407,308040000,4008043,8,46007,167265,3.6,25257015,46007,303270,0,NA,NA,255144,NA,NA,NA,NA,NA,NA,NA,NA,151,NA,1,Arizona,2007,-1.19874461,0,-1.019199044,1,0,0.5918537412642685,1
2008,ARIZONA,4,260000,413660000,2236000,8.6,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,185,NA,0,Arizona,2008,-0.741481238,0,-0.529964411,1,0,NA,1
2009,ARIZONA,4,280000,287980000,2380000,8.5,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,121,NA,0,Arizona,2009,-1.272491477,0,-1.157805247,1,0,NA,1
