state,year,hay_alf_acres,alf_irrigated_acres,alf_non_irrigated_acres_harvested,hay_alf_tons,alf_irrigated_production_tons,non_irrigated_production,irrigation_share,hay_alfalfa_yield_tons_per_acre,alf_irrigated_yield_tons_per_acre,alf_non_irrigated_yield_tons_per_acre,haylage_acres,haylage_production,haylage_irrigated_acres,haylage_irrigated_ops
Alabama,2007,7526,91,7435,16944,NA,NA,0.012091416423066702,2.251395163433431,NA,NA,1302,1584,NA,NA
Alabama,2012,4986,31,4955,8361,NA,NA,0.006217409,1.6768953068592058,NA,NA,1459,5096,NA,NA
Alabama,2015,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alabama,2017,3157,NA,NA,6704,NA,NA,NA,2.123535001583782,NA,NA,1108,7401,0,2
Alabama,2022,19964,486,19478,42583,NA,NA,0.024343819,2.132989380885594,NA,NA,5314,40405,244,7
Arizona,2005,260000,NA,NA,2184000,NA,NA,NA,8.4,NA,NA,NA,NA,NA,NA
Arizona,2006,250000,NA,NA,2075000,NA,NA,NA,8.3,NA,NA,NA,NA,NA,NA
Arizona,2007,512407,257263,255144,4008043,NA,NA,0.502067692,8,NA,NA,46007,167265,46007,95
Arizona,2008,260000,NA,NA,2236000,NA,NA,NA,8.6,NA,NA,NA,NA,NA,NA
Arizona,2009,280000,NA,NA,2380000,NA,NA,NA,8.5,NA,NA,NA,NA,NA,NA
Arizona,2010,280000,NA,NA,2296000,NA,NA,NA,8.2,NA,NA,NA,NA,NA,NA
Arizona,2011,250000,NA,NA,2075000,NA,NA,NA,8.3,NA,NA,NA,NA,NA,NA
Arizona,2012,522457,270948,251509,4117479,NA,NA,0.5186034448768032,8.4,NA,NA,43753,161002,43753,109
Arizona,2013,250000,NA,NA,2025000,NA,NA,NA,8.1,NA,NA,NA,NA,NA,NA
Arizona,2014,260000,NA,NA,2210000,NA,NA,NA,8.5,NA,NA,NA,NA,NA,NA
Arizona,2015,300000,NA,NA,2520000,NA,NA,NA,8.4,NA,NA,NA,NA,NA,NA
Arizona,2016,285000,NA,NA,2451000,NA,NA,NA,8.6,NA,NA,NA,NA,NA,NA
Arizona,2017,587903,302903,285000,4842105,NA,NA,0.5152261512528428,8.4,NA,NA,50289,210624,50289,101
Arizona,2018,260000,NA,NA,2158000,NA,NA,NA,8.3,NA,NA,NA,NA,NA,NA
Arizona,2019,290000,NA,NA,2407000,NA,NA,NA,8.3,NA,NA,NA,NA,NA,NA
Arizona,2020,260000,NA,NA,2210000,NA,NA,NA,8.5,NA,NA,NA,NA,NA,NA
Arizona,2021,290000,NA,NA,2407000,NA,NA,NA,8.3,NA,NA,NA,NA,NA,NA
Arizona,2022,584623,304623,280000,4536787,NA,NA,0.5210588704173459,8.2,NA,NA,54832,153633,54832,82
Arizona,2023,280000,NA,NA,2324000,NA,NA,NA,8.3,NA,NA,NA,NA,NA,NA
Arizona,2024,270000,NA,NA,1971000,NA,NA,NA,7.3,NA,NA,NA,NA,NA,NA
Arizona,2025,280000,NA,NA,2072000,NA,NA,NA,7.4,NA,NA,NA,NA,NA,NA
Arkansas,2005,20000,NA,NA,46000,NA,NA,NA,2.3,NA,NA,NA,NA,NA,NA
Arkansas,2006,15000,NA,NA,54000,NA,NA,NA,3.6,NA,NA,NA,NA,NA,NA
Arkansas,2007,26732,932,25800,67647,NA,NA,0.034864581774652105,2.6,NA,NA,405,1170,NA,NA
Arkansas,2008,15000,NA,NA,53000,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA
Arkansas,2009,15000,NA,NA,51000,NA,NA,NA,3.4,NA,NA,NA,NA,NA,NA
Arkansas,2010,10000,NA,NA,35000,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA
Arkansas,2011,10000,NA,NA,23000,NA,NA,NA,2.3,NA,NA,NA,NA,NA,NA
Arkansas,2012,14943,0,14943,33532,NA,NA,0,2.2,NA,NA,139,112,NA,NA
Arkansas,2013,5000,NA,NA,17000,NA,NA,NA,3.3,NA,NA,NA,NA,NA,NA
Arkansas,2014,5000,NA,NA,18000,NA,NA,NA,3.6,NA,NA,NA,NA,NA,NA
Arkansas,2015,5000,NA,NA,14000,NA,NA,NA,2.7,NA,NA,NA,NA,NA,NA
Arkansas,2016,4000,NA,NA,14000,NA,NA,NA,3.6,NA,NA,NA,NA,NA,NA
Arkansas,2017,5492,112,5380,17491,NA,NA,0.020393299,3.6,NA,NA,552,2850,NA,NA
Arkansas,2018,3000,NA,NA,8000,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA
Arkansas,2019,3000,NA,NA,10000,NA,NA,NA,3.2,NA,NA,NA,NA,NA,NA
Arkansas,2020,3000,NA,NA,10000,NA,NA,NA,3.3,NA,NA,NA,NA,NA,NA
Arkansas,2021,3000,NA,NA,10000,NA,NA,NA,3.3,NA,NA,NA,NA,NA,NA
Arkansas,2022,4180,98,4082,12867,NA,NA,0.023444976076555026,2.8,NA,NA,702,943,NA,NA
Arkansas,2023,2000,NA,NA,6000,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
California,2005,1040000,NA,NA,7176000,NA,NA,NA,6.9,NA,NA,95000,732000,NA,NA
California,2006,1100000,NA,NA,7480000,NA,NA,NA,6.8,NA,NA,80000,584000,NA,NA
California,2007,1976982,963086,1013896,14185014,NA,NA,0.4871496048016623,7.2,NA,NA,167812,1105721,78944,343
California,2008,1030000,NA,NA,7210000,NA,NA,NA,7,NA,NA,90000,432000,NA,NA
California,2009,1000000,NA,NA,7000000,NA,NA,NA,7,NA,NA,60000,540000,NA,NA
California,2010,930000,NA,NA,6324000,NA,NA,NA,6.8,NA,NA,70000,455000,NA,NA
California,2011,880000,NA,NA,6072000,NA,NA,NA,6.9,NA,NA,60000,468000,NA,NA
California,2012,1774137,831858,942279,11637210,NA,NA,0.46888036267774136,6.7,NA,NA,161573,1100353,76306,357
California,2013,830000,NA,NA,5810000,NA,NA,NA,7,NA,NA,75000,660000,NA,NA
California,2014,825000,NA,NA,5693000,NA,NA,NA,6.9,NA,NA,65000,540000,NA,NA
California,2015,790000,NA,NA,5451000,NA,NA,NA,6.9,NA,NA,70000,455000,NA,NA
California,2016,720000,NA,NA,5040000,NA,NA,NA,7,NA,NA,100000,620000,NA,NA
California,2017,1471596,727299,744297,9416210,NA,NA,0.4942246377402494,6.8,NA,NA,147318,857704,71083,362
California,2018,620000,NA,NA,4278000,NA,NA,NA,6.9,NA,NA,80000,496000,NA,NA
California,2019,580000,NA,NA,4118000,NA,NA,NA,7.1,NA,NA,60000,384000,NA,NA
